 ,0,0,15000,名詞,サ変接続,*,*,*,*, ,スペース,スペース,0/4,C0
¡,0,0,15000,名詞,サ変接続,*,*,*,*,¡,ギャクカンタンフ,ギャクカンタンフ,0/8,C0
¢,0,0,15000,名詞,サ変接続,*,*,*,*,¢,セント,セント,0/3,C0
¤,0,0,15000,名詞,サ変接続,*,*,*,*,¤,コクサイツウカキゴー,コクサイツウカキゴー,0/10,C0
¥,0,0,15000,名詞,サ変接続,*,*,*,*,¥,エン,エン,0/2,C0
¦,0,0,15000,名詞,サ変接続,*,*,*,*,¦,ハダンセン,ハダンセン,0/5,C0
§,0,0,15000,名詞,サ変接続,*,*,*,*,§,セクション,セクション,0/5,C0
©,0,0,15000,名詞,サ変接続,*,*,*,*,©,シー,シー,0/2,C0
«,0,0,15000,名詞,サ変接続,*,*,*,*,«,ヒダリダブルブラケット,ヒダリダブルブラケット,0/11,C0
¬,0,0,15000,名詞,サ変接続,*,*,*,*,¬,ヒテイ,ヒテイ,0/3,C0
­,0,0,15000,名詞,サ変接続,*,*,*,*,­,ソフトハイフン,ソフトハイフン,0/7,C0
®,0,0,15000,名詞,サ変接続,*,*,*,*,®,アール,アール,0/3,C0
¯,0,0,15000,名詞,サ変接続,*,*,*,*,¯,マクロン,マクロン,0/4,C0
°,0,0,15000,名詞,サ変接続,*,*,*,*,°,ド,ド,0/1,C0
±,0,0,15000,名詞,サ変接続,*,*,*,*,±,プラスマイナス,プラスマイナス,0/7,C0
²,0,0,15000,名詞,サ変接続,*,*,*,*,²,ウワツキニ,ウワツキニ,0/5,C0
³,0,0,15000,名詞,サ変接続,*,*,*,*,³,ウワツキサン,ウワツキサン,0/6,C0
µ,0,0,15000,名詞,サ変接続,*,*,*,*,µ,マイクロ,マイクロ,0/4,C0
¶,0,0,15000,名詞,サ変接続,*,*,*,*,¶,ダンラク,ダンラク,0/4,C0
·,0,0,15000,名詞,サ変接続,*,*,*,*,·,ナカテン,ナカテン,0/4,C0
¸,0,0,15000,名詞,サ変接続,*,*,*,*,¸,セディーユ,セディーユ,0/5,C0
¹,0,0,15000,名詞,サ変接続,*,*,*,*,¹,ウワツキイチ,ウワツキイチ,0/6,C0
»,0,0,15000,名詞,サ変接続,*,*,*,*,»,ミギダブルブラケット,ミギダブルブラケット,0/10,C0
¼,0,0,15000,名詞,サ変接続,*,*,*,*,¼,ヨンブンノイチ,ヨンブンノイチ,0/7,C0
½,0,0,15000,名詞,サ変接続,*,*,*,*,½,ニブンノイチ,ニブンノイチ,0/6,C0
¾,0,0,15000,名詞,サ変接続,*,*,*,*,¾,ヨンブンノサン,ヨンブンノサン,0/7,C0
¿,0,0,15000,名詞,サ変接続,*,*,*,*,¿,ギャクギモンフ,ギャクギモンフ,0/7,C0
À,0,0,15000,名詞,サ変接続,*,*,*,*,À,オオモジエー,オオモジエー,0/6,C0
Á,0,0,15000,名詞,サ変接続,*,*,*,*,Á,オオモジエー,オオモジエー,0/6,C0
Â,0,0,15000,名詞,サ変接続,*,*,*,*,Â,オオモジエー,オオモジエー,0/6,C0
Ä,0,0,15000,名詞,サ変接続,*,*,*,*,Ä,オオモジエー,オオモジエー,0/6,C0
Å,0,0,15000,名詞,サ変接続,*,*,*,*,Å,オオモジエー,オオモジエー,0/6,C0
Æ,0,0,15000,名詞,サ変接続,*,*,*,*,Æ,オオモジエーイー,オオモジエーイー,0/8,C0
Ç,0,0,15000,名詞,サ変接続,*,*,*,*,Ç,オオモジシー,オオモジシー,0/6,C0
È,0,0,15000,名詞,サ変接続,*,*,*,*,È,オオモジイー,オオモジイー,0/6,C0
É,0,0,15000,名詞,サ変接続,*,*,*,*,É,オオモジイー,オオモジイー,0/6,C0
Ê,0,0,15000,名詞,サ変接続,*,*,*,*,Ê,オオモジイー,オオモジイー,0/6,C0
Ë,0,0,15000,名詞,サ変接続,*,*,*,*,Ë,オオモジイー,オオモジイー,0/6,C0
Ì,0,0,15000,名詞,サ変接続,*,*,*,*,Ì,オオモジアイ,オオモジアイ,0/6,C0
Í,0,0,15000,名詞,サ変接続,*,*,*,*,Í,オオモジアイ,オオモジアイ,0/6,C0
